participantId,householdSize,haveKids,age,educationLevel,interestGroup,joviality,educationScale,amount_sum,amount_count,Wage_sum,Wage_count,Education_sum,Education_count,Food_sum,Food_count,Food_mean,Recreation_sum,Recreation_count,Recreation_mean,Shelter_sum,Shelter_mean,Shelter_count,apartmentId,rentalCost,loc_apart,bd_apart,employerId,loc_job,bd_job,pubs_count,resto_count,sent_message,last_activity
13,3,1,18,Bachelors,J,0.724503834,3,50186.45627693892,2774,85761.54895964607,645,-204.99912029105582,16.0,-6692.0235111709635,1491,-4.488278679524456,-7853.047564235037,606.0,-12.958824363424153,-20825.022487010094,-1301.5639054381309,16.0,141,1301.56,POINT (585.7918117851856 3538.798388512636),931.0,437,POINT (660.2070252315734 3610.994566867167),511.0,606.0,711,10526.0,2023-05-25 00:00:00+00:00
14,3,1,38,Graduate,H,0.930003289,4,75775.27169942964,2563,106680.00312222772,645,-204.99912029105582,16.0,-6430.129585072542,1350,-4.763058951905586,-6097.807503599099,536.0,-11.376506536565483,-18171.795213835398,-1135.7372008647123,16.0,66,1135.74,POINT (1603.441866432816 4025.5633312874506),854.0,405,POINT (1535.4111740520664 4021.741043075247),982.0,536.0,622,17123.0,2023-05-25 00:00:00+00:00
15,3,1,35,HighSchoolOrCollege,I,0.232266068,2,73970.11136682892,2010,92746.46650123515,643,-608.0860728582386,16.0,-3856.2695391746674,921,-4.187046188028955,-5371.568483556982,414.0,-12.974803100379184,-8940.431038816341,-558.7769399260213,16.0,930,558.78,POINT (-1662.1497492873168 5616.28437419331),203.0,1285,POINT (170.74694042286592 4771.135720847398),595.0,414.0,451,4865.0,2023-05-25 00:00:00+00:00
16,3,1,39,Bachelors,J,0.392189088,3,125526.49219024299,1745,143943.18398092233,541,-204.99912029105582,16.0,-4007.0676724652863,789,-5.0786662515402865,-5207.0193408628165,383.0,-13.595350759432941,-8997.605657060192,-562.350353566262,16.0,101,562.35,POINT (1831.08936976338 5326.192433295153),846.0,432,POINT (991.3270590871906 4100.917174659022),142.0,383.0,426,9325.0,2023-05-25 00:00:00+00:00
17,3,1,57,Bachelors,I,0.114667399,3,240838.83983574258,1964,260239.1539325969,645,-608.0860728582386,16.0,-4454.535091739866,931,-4.784677864382241,-5397.261893439867,356.0,-15.160848015280525,-8940.431038816341,-558.7769399260213,16.0,1003,558.78,POINT (-1704.7713283737937 5630.22569812214),203.0,873,POINT (-2000.3032213302695 4184.061539506543),446.0,356.0,450,3589.0,2023-05-25 00:00:00+00:00
18,3,1,20,Graduate,I,0.32696558,4,239904.23342736924,1966,260534.64638523833,645,-1458.2962215809964,16.0,-4277.555727464249,926,-4.619390634410636,-5940.612965970134,363.0,-16.365324975124334,-8953.948042853703,-559.6217526783564,16.0,482,559.62,POINT (-1062.3812299904594 3002.1215906661346),655.0,428,POINT (1174.5599898893972 3684.5515693344405),323.0,363.0,477,6446.0,2023-05-25 00:00:00+00:00
19,3,1,25,Bachelors,B,0.486470164,3,111303.64506978878,2479,133765.39076587607,625,-204.99912029105582,16.0,-6031.268308383403,1301,-4.635871105598311,-7088.734378542417,521.0,-13.606016081655312,-9136.743888870402,-571.0464930544001,16.0,276,571.05,POINT (1792.288740518518 3445.633257478743),988.0,415,POINT (1496.4456131589884 4021.741043075247),982.0,521.0,526,9677.0,2023-05-25 00:00:00+00:00
20,3,1,41,HighSchoolOrCollege,I,0.619057739,2,67089.4475104182,2323,87945.38973091019,646,-204.99912029105582,16.0,-5135.454029579492,1161,-4.423302351058994,-6332.365771147617,484.0,-13.083400353610779,-9183.123299473806,-573.9452062171129,16.0,301,573.95,POINT (-1435.4128878299682 2057.4318747557327),1013.0,439,POINT (585.2216880077107 3622.7180435904966),395.0,484.0,584,8539.0,2023-05-25 00:00:00+00:00
21,3,1,35,Low,E,0.931240975,1,9121.593254249292,2336,35707.078993931995,598,-204.99912029105582,16.0,-4987.9992726182945,899,-5.5483862876732974,-10377.377328465125,807.0,-12.859203628829151,-11015.110018308225,-688.4443761442641,16.0,169,688.44,POINT (1409.3995291046801 3410.1712682211246),83.0,434,POINT (800.6342599068146 4103.165163999878),150.0,807.0,498,11721.0,2023-05-25 00:00:00+00:00
22,3,1,25,HighSchoolOrCollege,E,0.663815663,2,21645.62085020521,2550,50906.40816026592,645,-204.99912029105582,16.0,-6397.996581709395,1344,-4.760414123295681,-6424.997896869186,529.0,-12.145553680282015,-16232.793711191072,-1014.549606949442,16.0,88,1014.55,POINT (1621.7516640707404 4457.745004135188),145.0,399,POINT (1626.36173317109 4226.189405838731),180.0,529.0,644,12805.0,2023-05-25 00:00:00+00:00
23,3,1,57,Low,B,0.260211811,1,51702.77890660668,2196,76544.93686507254,643,-1458.2962215809964,16.0,-4362.235310703408,909,-4.798938735647313,-10067.678383327744,612.0,-16.450454874718535,-8953.948042853703,-559.6217526783564,16.0,532,559.62,POINT (-1108.7013252400461 3076.5769666578326),1014.0,1737,POINT (-4153.336133623585 5376.423146435112),1041.0,612.0,505,809.0,2023-05-25 00:00:00+00:00
24,3,1,44,Bachelors,D,0.607328128,3,100452.09657070639,1893,119793.19552113474,329,-204.99912029105582,16.0,-4435.4127829379395,899,-4.93371833474743,-5517.563747725551,633.0,-8.71653040714937,-9183.123299473806,-573.9452062171129,16.0,309,573.95,POINT (-1530.7039862202507 2057.4318747557327),1013.0,389,POINT (1749.107722959826 4023.6598528872755),1020.0,633.0,294,9613.0,2023-05-25 00:00:00+00:00
25,3,1,38,HighSchoolOrCollege,J,0.520535752,2,66630.1538232056,2319,86185.13907224798,645,-204.99912029105582,16.0,-5835.043813939857,1361,-4.287320950727301,-4123.11166762235,281.0,-14.672995258442526,-9391.83064718912,-586.98941544932,16.0,273,586.99,POINT (-1702.1057284608669 2048.2715608575318),826.0,408,POINT (412.9860808984934 1033.1806025214216),516.0,281.0,541,6567.0,2023-05-25 00:00:00+00:00
26,3,1,28,HighSchoolOrCollege,F,0.549177225,2,57833.820677576456,2433,80802.60239302178,678,-204.99912029105582,16.0,-5865.932021587181,1135,-5.168222045451261,-7506.019926377962,588.0,-12.765340010846876,-9391.83064718912,-586.98941544932,16.0,371,586.99,POINT (-1627.3229182469468 2048.2715608575318),826.0,414,POINT (-82.06554016401982 1511.1129553803012),983.0,588.0,583,7837.0,2023-05-25 00:00:00+00:00
27,3,1,45,HighSchoolOrCollege,D,0.135148815,2,71789.89998518395,1962,92012.94643286467,645,-608.0860728582386,16.0,-4361.338260799335,923,-4.725176880605997,-6252.577983418221,362.0,-17.272314871321054,-9001.044130604927,-562.5652581628079,16.0,1239,562.57,POINT (-1551.3343645385485 5650.818929732952),508.0,871,POINT (-2202.659451917056 3456.928318795747),297.0,362.0,462,5059.0,2023-05-25 00:00:00+00:00
28,3,1,54,Bachelors,A,0.230073813,3,178866.56217354548,2192,201708.6014726477,645,-608.0860728582386,16.0,-3820.7441821514867,900,-4.245271313501652,-9412.164913487546,615.0,-15.304333192662677,-9001.044130604927,-562.5652581628079,16.0,1254,562.57,POINT (-1551.3343645385485 5676.174237812989),508.0,1782,POINT (-3205.791803054025 7158.9906355191815),213.0,615.0,458,5022.0,2023-05-25 00:05:00+00:00
29,3,1,18,Low,C,0.607853294,1,48488.65083618769,1967,67447.85098965572,645,-204.99912029105582,16.0,-4426.273253222969,900,-4.918081392469966,-4472.3030267308495,390.0,-11.46744365828423,-9855.624753223148,-615.9765470764468,16.0,344,615.98,POINT (2217.5168940808653 4848.952197366105),520.0,395,POINT (286.586327845334 1725.5999247626096),230.0,390.0,443,11673.0,2023-05-25 00:00:00+00:00
30,3,1,49,HighSchoolOrCollege,C,0.681423545,2,3549.5745231999485,2662,30751.388736483113,647,-204.99912029105582,16.0,-6313.019781966723,1350,-4.6763109496049795,-6930.887785509123,625.0,-11.089420456814597,-13752.907525516264,-687.6453762758132,20.0,284,829.03,POINT (678.0809284400252 2936.8175399850243),574.0,876,POINT (-1670.937273533352 4186.622203455871),411.0,626.0,611,9035.0,2023-05-25 00:00:00+00:00
31,3,1,40,Graduate,F,0.23266675,4,200307.46294749636,1901,220293.2949790261,645,-1458.2962215809964,16.0,-4363.3903157026625,919,-4.747976404464268,-5086.410151260767,305.0,-16.676754594297595,-9077.735342985321,-567.3584589365826,16.0,810,567.36,POINT (-1190.9491044172587 2889.1141360057463),710.0,1323,POINT (-3079.473260122901 6283.8148275615595),88.0,305.0,471,6842.0,2023-05-25 00:00:00+00:00
32,3,1,33,HighSchoolOrCollege,C,0.189498641,2,71633.90417525776,1834,89573.44774801233,645,-608.0860728582386,16.0,-4279.104240711611,926,-4.621062894936945,-3930.0829450026044,231.0,-17.013346082262355,-9122.270314182098,-570.1418946363812,16.0,1146,570.14,POINT (-625.5724812374312 6284.072402551033),157.0,1303,POINT (-173.36434821207166 3690.962126114104),352.0,231.0,467,5305.0,2023-05-25 00:00:00+00:00
33,3,1,21,Bachelors,D,0.094585958,3,161004.51855905465,1792,178931.49073579058,645,-1171.1656343569832,16.0,-4542.137074799115,923,-4.921058585914534,-3040.256857201122,192.0,-15.834671131255844,-9173.412610378717,-573.3382881486698,16.0,1397,573.34,POINT (-4588.788594815711 7076.2404077290485),288.0,1298,POINT (-3569.215604711074 4903.19250465635),441.0,192.0,466,3335.0,2023-05-25 00:00:00+00:00
34,3,1,23,Low,B,0.767112453,1,30986.567968583233,1851,61204.50284499126,323,-204.99912029105582,16.0,-4045.0381352625222,900,-4.494486816958358,-9425.179943336187,592.0,-15.920912066446261,-16542.71767751826,-919.0398709732367,18.0,35,1029.66,POINT (2050.180926104707 4335.0803589938605),921.0,436,POINT (1376.3976505541523 4861.346259046002),1024.0,592.0,271,11847.0,2023-05-25 00:00:00+00:00
35,3,1,20,Low,J,0.707950782,1,5495.981840943029,2604,30195.027830899762,645,-204.99912029105582,16.0,-6498.84348456766,1350,-4.813958136716785,-7977.250694762958,577.0,-13.825391152102181,-10017.952690335058,-626.1220431459411,16.0,215,626.12,POINT (1491.7960329571924 3427.9695688061133),463.0,432,POINT (991.3270590871906 4100.917174659022),142.0,577.0,668,11962.0,2023-05-25 00:00:00+00:00
36,3,1,41,Graduate,G,0.348019484,4,197391.68690434375,1607,216902.45445666212,338,-204.99912029105582,16.0,-4388.821052631383,899,-4.881892160880293,-4643.907930742152,338.0,-13.739372576160212,-10273.039448653775,-642.064965540861,16.0,111,642.06,POINT (-1851.7810522771383 1845.2751568334254),239.0,416,POINT (507.31810222892034 1381.6774426214972),493.0,338.0,272,7198.0,2023-05-25 00:00:00+00:00
37,3,1,54,HighSchoolOrCollege,G,0.174975799,2,68527.50049639607,2096,89511.75621153339,646,-608.0860728582386,16.0,-4033.5436672019746,922,-4.374776211715807,-7159.74256910642,496.0,-14.434964857069396,-9182.883405970684,-573.9302128731678,16.0,1080,573.93,POINT (-2401.058309657752 6214.165374816003),165.0,830,POINT (-804.6120047431612 5042.0163759841835),421.0,496.0,452,5252.0,2023-05-25 00:00:00+00:00
38,3,1,34,Low,D,0.215116214,1,53725.30825348625,1954,74375.4551567175,645,-608.0860728582386,16.0,-4321.952635949439,926,-4.667335459988595,-6537.224788452889,351.0,-18.624572046874327,-9182.883405970684,-573.9302128731678,16.0,1216,573.93,POINT (-1845.1054225181472 6223.628607476944),110.0,1735,POINT (-3837.636675203619 5492.86911075103),749.0,351.0,464,4424.0,2023-05-25 00:00:00+00:00
39,3,1,54,Bachelors,G,0.862950926,3,33843.018880389034,1892,58671.86857355816,322,-204.99912029105582,16.0,-4125.066749568159,900,-4.583407499520177,-8509.706182330223,638.0,-13.338097464467435,-11989.077640979687,-749.3173525612305,16.0,188,749.32,POINT (1259.7550319545578 4768.65403499302),741.0,410,POINT (1376.3976505541523 4822.779542501879),1024.0,638.0,273,13360.0,2023-05-25 00:05:00+00:00
40,3,1,55,Low,I,0.880410054,1,8483.749348625623,2672,33262.524063165416,645,-608.0860728582386,16.0,-6179.723510043486,1349,-4.580966278757217,-8353.483537252992,646.0,-12.931089066955096,-9637.481594385074,-602.3425996490671,16.0,977,602.34,POINT (4.502697650541232 5359.332759482619),713.0,862,POINT (-1475.3580476204697 4473.948598738494),578.0,646.0,634,13142.0,2023-05-25 00:00:00+00:00
41,3,1,41,HighSchoolOrCollege,F,0.863663966,2,6732.833089564118,2503,30380.101083375193,645,-204.99912029105582,16.0,-6441.904472246704,1346,-4.785961717865308,-6356.289667792316,480.0,-13.242270141233993,-10644.074733481,-665.2546708425625,16.0,245,665.25,POINT (1404.7963985230203 3346.4336047045435),934.0,389,POINT (1749.107722959826 4023.6598528872755),1020.0,480.0,647,13570.0,2023-05-25 00:00:00+00:00
42,3,1,24,HighSchoolOrCollege,J,0.055283617,2,67377.04858295637,1906,86353.5597196335,646,-1171.1656343569832,16.0,-4174.206796340899,932,-4.478762657018132,-4402.795481167127,296.0,-14.874309057997051,-9228.343224812123,-576.7714515507577,16.0,1471,576.77,POINT (-4411.7126526365555 4644.449348411632),362.0,1284,POINT (-746.105838089235 5429.550547514793),260.0,296.0,456,2187.0,2023-05-25 00:00:00+00:00
43,3,1,48,Bachelors,E,0.045228735,3,152309.489009953,2039,174285.610933751,645,-608.0860728582386,16.0,-4203.068599018968,918,-4.578506099149203,-7921.470754161538,444.0,-17.84115034721067,-9243.496497759268,-577.7185311099543,16.0,934,577.72,POINT (-615.3610400980101 6219.202532754804),898.0,1734,POINT (-3480.17040400516 6856.274228255146),261.0,444.0,476,1965.0,2023-05-25 00:00:00+00:00
44,3,1,39,Low,C,0.976499153,1,2171.8263858885407,15,2235.9861417758866,4,-25.624890036381977,2.0,-38.534865850963925,9,-4.281651761218214,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,430,POINT (707.1111664944394 2001.4772026036535),304.0,0.0,9,3.0,2022-03-05 07:25:00+00:00
45,3,1,50,Graduate,E,0.179657824,4,195358.16262200335,1937,214004.85849649154,645,-608.0860728582386,16.0,-3897.3741756815234,918,-4.245505637997303,-4897.739128189173,342.0,-14.320874643827992,-9243.496497759268,-577.7185311099543,16.0,955,577.72,POINT (-2495.13905368497 6791.116922785467),457.0,429,POINT (715.9086691087551 4418.132191398763),964.0,342.0,462,4877.0,2023-05-25 00:00:00+00:00
46,3,1,47,HighSchoolOrCollege,D,0.225049088,2,63892.430872965466,2027,85533.77147023976,646,-608.0860728582386,16.0,-4061.326807154205,919,-4.4192892352058815,-7728.4312195025805,430.0,-17.973095859308327,-9243.496497759268,-577.7185311099543,16.0,985,577.72,POINT (-574.8545408956802 6184.855099073229),898.0,1777,POINT (-3676.9008460947675 6798.416765323038),187.0,430.0,468,6596.0,2023-05-25 00:00:00+00:00
47,3,1,58,HighSchoolOrCollege,C,0.424159724,2,58748.412728993986,2423,79360.39165229234,645,-204.99912029105582,16.0,-6101.845613356869,1331,-4.5844069221313815,-3661.059456169431,415.0,-8.8218300148661,-10644.074733481,-665.2546708425625,16.0,58,665.25,POINT (-1473.1756324816884 954.9226790202229),188.0,418,POINT (789.621374888836 1269.8729153421614),472.0,415.0,672,6558.0,2023-05-25 00:00:00+00:00
48,3,1,42,HighSchoolOrCollege,F,0.485827661,2,53941.1847738491,2625,77244.51595729646,645,-204.99912029105582,16.0,-6510.821416476476,1330,-4.895354448478553,-5943.435913198823,618.0,-9.617210215532076,-10644.074733481,-665.2546708425625,16.0,115,665.25,POINT (1217.5077506817527 3514.1697849435245),968.0,392,POINT (-885.2966139548657 1555.9764946386085),315.0,618.0,728,7687.0,2023-05-25 00:00:00+00:00
49,3,1,54,Graduate,D,0.229589642,4,193697.4117531267,1880,212131.73184767662,646,-608.0860728582386,16.0,-4319.921312667953,927,-4.660109290903941,-4232.509665370152,275.0,-15.390944237709643,-9273.803043653563,-579.6126902283477,16.0,1247,579.61,POINT (-1670.2879810541003 6254.208538501094),835.0,1735,POINT (-3837.636675203619 5492.86911075103),749.0,275.0,455,3933.0,2023-05-25 00:00:00+00:00
50,3,1,45,HighSchoolOrCollege,H,0.576174771,2,52915.50846174723,2024,76269.51356565136,552,-204.99912029105582,16.0,-4431.885536711559,816,-5.431232275381813,-8073.045713420522,624.0,-12.937573258686733,-10644.074733481,-665.2546708425625,16.0,279,665.25,POINT (2179.5103652880916 4964.080440343192),907.0,400,POINT (753.1769059100845 1739.395851679909),227.0,624.0,444,8884.0,2023-05-25 00:00:00+00:00
51,3,1,26,Graduate,G,0.374354513,4,174849.18087070284,2487,196450.93198425512,645,-204.99912029105582,16.0,-6264.048722374679,1352,-4.633172131933934,-4442.249126802115,458.0,-9.699233901314662,-10690.454144084404,-668.1533840052753,16.0,90,668.15,POINT (1352.5746952525114 3257.1881835177824),189.0,383,POINT (829.9556783260775 2163.4803049897623),146.0,458.0,696,8870.0,2023-05-25 00:00:00+00:00
52,3,1,39,HighSchoolOrCollege,B,0.730126771,2,11360.688998777734,2585,40515.42046714251,645,-204.99912029105582,16.0,-6428.737230196439,1333,-4.8227586123004045,-8120.188125520636,575.0,-14.12206630525328,-14400.806992356647,-900.0504370222905,16.0,336,900.05,POINT (567.7208874125674 1914.3615429683741),301.0,413,POINT (917.1190165763343 2102.895037900609),354.0,575.0,670,10597.0,2023-05-25 00:00:00+00:00
53,3,1,19,Low,H,0.140697641,1,45579.716835794374,1785,64622.77502751327,324,-608.0860728582386,16.0,-3814.376673162636,900,-4.23819630351404,-5337.321606452499,529.0,-10.089454832613418,-9283.273839245527,-580.2046149528454,16.0,1599,580.2,POINT (-3324.5781138055304 7755.314857560063),226.0,1771,POINT (-3724.8780422091695 6559.417348100849),305.0,530.0,312,4673.0,2023-05-25 00:00:00+00:00
54,3,1,32,Graduate,I,0.778504463,4,87342.76606872531,1842,123820.82061581392,325,-204.99912029105582,16.0,-4011.3271368345136,900,-4.457030152038349,-7360.029296523553,585.0,-12.581246660724023,-24901.69899343949,-1556.3561870899682,16.0,196,1556.36,POINT (1024.2373011492627 4571.087727993299),906.0,393,POINT (903.9691099852218 4220.741537877808),592.0,585.0,245,14232.0,2023-05-25 00:00:00+00:00
55,3,1,37,HighSchoolOrCollege,J,0.770806686,2,6222.405834650327,2537,30957.240435850934,645,-204.99912029105582,16.0,-6798.46407592449,1312,-5.181756155430252,-7027.608997086939,548.0,-12.824104009282735,-10703.76240789812,-668.9851504936325,16.0,92,668.99,POINT (-1585.4991059842016 1889.1871542928043),380.0,386,POINT (-1349.8842287593952 1610.4623628717086),596.0,548.0,680,10606.0,2023-05-25 00:00:00+00:00
56,3,1,40,Graduate,G,0.734056857,4,23855.285444351655,2417,53049.277977504666,646,-204.99912029105582,16.0,-6325.245958040039,1311,-4.824749014523294,-5574.651794789924,428.0,-13.024887371004494,-17089.095660031995,-1068.0684787519997,16.0,44,1068.07,POINT (2253.3211062717032 4060.9279154409005),377.0,403,POINT (2026.3999572104358 4142.402774048681),1023.0,428.0,616,12280.0,2023-05-25 00:00:00+00:00
57,3,1,56,Graduate,A,0.422849796,4,147978.0961422005,1977,168620.2193295898,645,-204.99912029105582,16.0,-3856.186107419445,900,-4.28465123046605,-5681.7764678790945,400.0,-14.204441169697736,-10899.161491799718,-681.1975932374824,16.0,16,681.2,POINT (2211.1188040814286 5227.989103585554),533.0,394,POINT (865.149408963124 982.7393731902811),893.0,400.0,444,9609.0,2023-05-25 00:00:00+00:00
58,3,1,40,Graduate,J,0.192945633,4,190511.67564982316,1571,208993.29746384057,324,-204.99912029105582,16.0,-4138.473790848798,900,-4.59830421205422,-4854.1013930062245,315.0,-15.409845692083252,-9284.04750987135,-580.2529693669594,16.0,682,580.25,POINT (-1095.8438546268312 2495.769897064819),832.0,865,POINT (-1968.219929915483 4032.689324603983),862.0,315.0,314,6831.0,2023-05-25 00:00:00+00:00
59,3,1,35,Bachelors,C,0.186308253,3,150400.62938006394,1671,169946.016482374,324,-608.0860728582386,16.0,-4041.2674154262586,900,-4.490297128251399,-5561.617478583382,415.0,-13.40148790020092,-9334.416135442147,-583.4010084651342,16.0,1165,583.4,POINT (-2514.175452075128 6215.348693777564),330.0,870,POINT (-1499.9043260061567 4258.263943913515),917.0,415.0,290,6049.0,2023-05-25 00:00:00+00:00
60,3,1,46,HighSchoolOrCollege,D,0.411129251,2,50319.2335531316,2545,74342.07413355904,638,-204.99912029105582,16.0,-5865.4525036581435,1320,-4.443524623983442,-6960.4686434717205,555.0,-12.54138494319229,-10991.920313006525,-686.9950195629078,16.0,266,687.0,POINT (1274.2715913565519 1163.5051209752276),251.0,434,POINT (800.6342599068146 4103.165163999878),150.0,555.0,627,9084.0,2023-05-25 00:00:00+00:00
61,3,1,44,HighSchoolOrCollege,F,0.598278749,2,52647.25932670218,2437,74830.64695846575,644,-204.99912029105582,16.0,-6410.7387639314165,1353,-4.738166122639628,-4418.770558376381,408.0,-10.830319996020542,-11148.879189164714,-696.8049493227946,16.0,22,696.8,POINT (-1396.3194484189332 2171.962600676111),809.0,417,POINT (-903.1271422325927 1570.7679946298354),315.0,408.0,567,8372.0,2023-05-25 00:00:00+00:00
62,3,1,57,Bachelors,A,0.491406814,3,93937.90443498122,1942,114362.45860699369,646,-204.99912029105582,16.0,-4296.4228471846445,921,-4.6649542314708405,-4774.253015372061,343.0,-13.919105001084725,-11148.879189164714,-696.8049493227946,16.0,352,696.8,POINT (-1406.4414272258414 2146.9787804386006),809.0,415,POINT (1496.4456131589884 4021.741043075247),982.0,343.0,461,7927.0,2023-05-25 00:00:00+00:00
63,3,1,36,HighSchoolOrCollege,G,0.583943591,2,50649.20396864505,2504,73902.35725947487,643,-204.99912029105582,16.0,-6323.272557465657,1341,-4.715341206163801,-5547.443657652963,488.0,-11.367712413223286,-11177.437955420135,-698.5898722137584,16.0,17,698.59,POINT (2123.9062678259706 5021.749305819725),496.0,401,POINT (-1674.8630003427375 1638.1520588255166),623.0,488.0,572,10415.0,2023-05-25 00:00:00+00:00
